---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
0E20C0334EDBB35DC96F09B82711F66E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","125","127","128","128"
B0B9AFD24088E10CDD7AE286E9103B4A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","125","127","128","128"
CFCD426A413656EC55B1D6967265210B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
49DD768044CC377ADA8EBBB5C6348480,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
7012D58245E890FBBCB020924817A49A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
50FBFCAE4D2137620DE9F181FBF544DD,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
69BB06104774E5D48CCEA3A20AFDBAA7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
C9151EEF416492F5EE0AD5AE49B38AAB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
57E5E4EB448DD552449531BC3311B33A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
3B9D1E5B4EBD625CB9832B827260258E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
BFD8B1FE4AC56B99F1706B9796D91782,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
AB5164904F23BB7E456DDC9AB528133C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
ECB5888E4E841936D1B126ABC5C7D84B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
1D8FAF8D4614F2024B1BAFB5186D2F2A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
7B59D0DB4D46580E082F12885D98BE91,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
5E9DED3C44682DAEA74080A607805CE5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
6BCF17BC4FC8813AEC26869C277E2FA9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
B1431A5C4AC8C95F1650F293228134FD,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
5F4A7AC043DC5B26E3D229BC37B0103A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
C2F5F5B04567B5F1CCD15183E8402E4C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
5A7AE63247AC860902F1B68249C01926,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
30FB4C6B4D756B1387E005AA8FAE1AC3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
BF28F5C045C59F691E56169C492690F4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
8E16B0CE400A2CC9709CCAA6A1D3709A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
CB020B234B143D022970DC9C2E8D0F81,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
896EC7714C264339520CEBBE0F9DAA5B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
4CFB66E44660E669498A70A0D1AE3942,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
346B3EB54F894E049114008B3FF71F79,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
6E56D46643BA88E29852E3AB35AD6EA2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
EFA444A24C11DDC1EA8986A508050B67,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
48BAEB6A4B295804ED9DF0982E4846CC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
9A83C267438514798F5C1994932DE08A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
369047E344BC43943F4D88B770426C21,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
77764DE842CB0DEF388D2493EA6F25B6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
C38D11BE4142CC5D4D019E8359E8273B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
EA7F8549417343015B91639ED18F02DB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
5E8454E3466B3F849B6F9F985351C58E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
E508D29F4788DBE3969A7FA64BBF31F4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
FADF37474AED41E84D749E9ADF8189E9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
974CEF3C42CDE5C1ED8E09A4AC7D5E44,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
069E74644D6C5BE7AF1722AE19C3F221,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
97A3354A48ECB1728D23019FC36EA45D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
F371D30C43E1D056DF2A498D2F71626B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
8C3607E64A8E588C391963815A54E516,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
FB39A550453BB35390E28A800DD317F6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
E83EA13E4968D349D199A9846E92CA89,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
A6C79BC54DD3678A00E6AEAD34E03B60,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
CDB94B584AC9D863395F7295013636E6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
C36D028F4E5B0F372FBBA1958D500818,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","126","127","128","128"
