---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
EB14F27144AA57D9987CBBA7506BAF41,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3108D33F468A9732B88D1F9747134ECB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
14BD91BC4E3C80EE36A573B77D9D7508,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
F948E94C461F34DC6016C2B76A9DC8BA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
82AC04794BA3C037A9FA578AD4556CE9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
4EB4A846425AE73477640BBEF086B750,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
7F61BE774ED9616129429091BB52AA6A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
105458F542AC572FC94DD7AEF6D44658,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
869B26E7418DE82C7B822499C0EA7939,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
EB13F107447D627A31B6B0966123D20E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
9E1EE6854CE691752FAA8B84D00AB5E0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
335D63F74B526C1A9301D08B592018D2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
8D97FCA94FD7ABC2CD6494B3512CA410,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
9B2A9A4846C2E02E562BD590A24D90BA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E8352A9B4AA5D369030F37AEE0C7256B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
51696FC949EECF83AEBFAC93E65724A4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
45929D3145B15280D4DB50A34228CF0E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
580AB62341433D495097BA9EAB9EB988,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
747D7B9240C7154B6E7547869A7F6972,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
41117A56495F65CFD883C08DA2E7B759,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
057350EE445C0DD911D78EA01BD1C4E0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E98BA8704751F36021693FBA37C03681,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D586A34948C1BFA2B02F1BAAFAA3E754,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
23960CD44915DEC1C49476A85290E77D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
ADAE75444BAC387AFF73DFB0FE4F6596,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
B0425CE142403A7BB4B3CC8F509F6788,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
