---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
548E1FFE45B90F78391047AC7D6A2DCE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
38BA9FFD4BDF0874FDD666A1331E9F08,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
79E4021D49955E68369CA8917ECA42DF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
802A75B1435992F3B37D4CB8451BC453,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
2B59B4F8422464A085F8D3BDEC9A26ED,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
A92BA2AC43BA9395A9C218BB6C6C97DC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
97EFE95A47763562B121F8B683D8F626,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
63B0527F4384FE738D3E0EAC5ED9DEF7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
0CA1B9A440FF0CEA8AC6779DAC2AFE40,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3EB907774CEADC05D1D014A80B2C99B1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
882336D749285C4BD40402A8612B3034,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
88660C3D4B7B1FF56A65E98018D8FDB5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
9EAB36C046F5782ACA024791C5813F5D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
2AE2E25C4F97A64FCA97EBB365222B4D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
8F04033E46700F52160A22BCAACF4416,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
1E30B309465B2F652A0E328209DF1C7B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
246B6B9D48BDE5F17C98C984F3811B5F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
A1B0E05348D3AEC382F2D5932A740018,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
63E2EA554B6E414A13D1E1B31F2EAFA8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
625B9F7B4D020222A00BB8B8F4230231,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E79C5301417270686D7CFB90DC67258D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
BE2370CA40FD99D2004C6CBF3D420F53,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E428D80D40AC1FFF51A5CE860F61BEB0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
61123616443E145C740DD3BB30B927B3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
87FD357F418FC9CECB7624949E9785BB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
5B2B7BE944FB42BAD0FA959D6866E90E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
426EB31C4274B38C030155AFA9C72D8E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E0EDF1C4491C7D3EBD88EBA127E5AA2B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E3D617EB46C87AF487B134BA20CD9784,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3FAD95C94A60B5D83DDD0C93AF264A16,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D40FDCFE4F9ED9F90A66EE96B0FD8434,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
57AD5F7F4E39D15EAFC35F82057D2475,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D69771A6471135F63E6D2D8E4B187B40,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
1AF787764F5C7E7844A6AA8607D1456E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
DB8FB79E45CA33F3C47C6F801F648EBF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
73FF75CB45A3C8951B008BA3C9A00198,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
62F948514996BEAEAD3752BB1351CABB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
F85FB0F74D84317C305108896644DD45,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
DB8D189C40F01DFBFCF5E787E769F7C7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3A80B97E4B823DE925BE899998380943,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D7B88BAB463B40316ADFB4A271CF2B62,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
BB0A0A28420FE55103F2829ED5EC3715,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
142A6116427B5A663550108B90A45FEE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
98C4B8134ADE4D21BA1E3A912983185B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
9FDB4A6243C0AAE8F38BE4999E31989F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
6431CA6F40678C7EAEF48DB030661892,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
BB763A904305B4290B9E8382CFAAE74C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D48D0CF1443D0F61A86530AE1EA512EF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
C580DB484943E622DDAD0EB0F1C3C1B9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E94E460D4B0C8D45905DB5AD04B9B11D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
F62FAC534322ED18B7DB8C87F2F3D252,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
BF93D8104C9D6FEBDAFA43A26D63BDFA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
DDA476F34E0C5C5C555948B1FA5777FB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
1BF5869C4E1D604B5FEB32BBE2D450F2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
237A96FF43AF17D14731A993CB8B131C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3EAC2E6A49F2EBD28F7C898CDC5F879F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
208C6B3742B9913776F61690E5E2D65E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
B002E86B4AD3DC8579A4C3A3119DA292,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
719AF84F43379967A57A6284D0569838,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
6464892444BAACB8BF92789181D26331,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
1AA6754543BB0A6C22F853B2C050283B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
736E42834955C6E609C863BDC2EF157A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
A7564B38497D8F81597ED086C4E99FAC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
7876080642A061FE1631C289A7E98D71,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3C778257475322AD60562DA06FA1ABD2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
4003374F46970CC75B7019A88A5FCBAF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
2341637746A84A55A366BEA6A3147EE7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
AE8513854BF0A783E08DA5BF2CEED61B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
5EEC13D64827115216480AA4200BA3B1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
B988D68B455906E6F3CEE38F5704F31C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
39DBAC7C4BEF1995703366971A14939A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D293414147A03AC07A03F68DF31443B2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3D87534744F46068BE160588821C6CDE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
3E20FD184FB058FEF600D4806ECC273B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
6848235D4D2219B037BBF9B6A0FEA037,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
44DEA57949FED559D75529813D845937,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
692043B4484796728DAF85B94BC62EED,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
CC6DF2AA4F1C34FAE897BA9DBECB3461,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
EED0645A4ACF20D1235F0497563961F2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
5E2B63A54FE0F61797E5049E5242D167,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
6B2DCC32499CCE96F3FEB69667253893,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
425750514D329215585A3FB6B0D3D59D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
2AE1B0824B5DA8E927C308953BB25E56,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D4001DFB4575E080912855BB085F9B07,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
340DE38A4E96D80EB7D1A69EA8F04F5A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
0FEA7AD041630745AC3906BEC731C29C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
494DD6AA41CE7AD1B01FFA86667C4963,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
C017FEA6451CC45A45BC9ABD3AE74C92,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
10AED7C443F1B83A0B9C46BBB73C3A96,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
95824BD7403AD129F1D7D1BB336EC342,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
D0B88FCD42EFC3B648E91891E3CCB322,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
8EF8CF444FA6B20AA12655926C08918C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
7C5731AB43C2229774E1C8AE592F92E4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
0AEB4DA94765E230883F738E50E0A3AA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
35A0AD164C5CB87C5F215FACFE4C6466,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
E73FBE574D5129AEB6E064A8C8C02BA8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
C9F36DCB435D3E8A1B1F50806FAA6A22,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
082C6B494576483802DD2EAB2A485B29,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","124","127","128","128"
