---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
D7FAA0E0469B6B15A1B14DA77C9A915D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
F3DDE81241A0358F9BD4D2A33C7CC619,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
B03BD09E41CA61A1215D47929E154CB0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
093D9344485F979B5D71CA80925569B4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
99558DD247B21146FA69A3AC223CD75C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
4F9583D5404E55F867A34BA3CD9240B5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
4533A177412439CABAB736B545B44A00,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
7CBAEDAD4A8E14C0E71DA7B3DD8A6DC3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
D1D809574545A63BD96E9AA9450258BF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
1407CEC243815EE61A4E69A8A9207553,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
CE65E9E7423E6FA8F8D69EBB28A540F5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
505986A14663040AE657519178907862,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
B3DE16604E5C612DA0A3C9A78B64A00D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
A85E06904043D1F694928EBA8EDCB168,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
CA1C9F614925A3606F447691840D345D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
00CB54314EA3098665FA89AC0C48832A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
3AEBA490407ED171B942F3BAEF6657F8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
5486042E4B146B5FF9A108980081B88B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
56840BC5474DDBEFAD2F9BB00E29347D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
77C8837C469EFC3B748D06B57BDAEDAE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
9D9BCBA84DC991FF51222AB9DAB27154,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
9F36EAFE44BCA465DBD05C914468B3FA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
D4A6576049B5DF9BB8CC088B4B186A3B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
229D25B442320D3BF6E32DA034992680,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
B00777094DC411E52E9665A550DEB7C2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
75F1ECB145365AF7938FAC832F0F7BDC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
DEE619494ADE4D74D74B20991C5266E4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
5646E63B44D754ACBE5D339C4E3C4DDC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
3007A4774B150209EEEFB493FF46E70F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
72F04A4F4477B24DC605C29A5567D7AF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
9FEB1526435B6E96294C898C12B14578,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
60B58C094BB28E3857A3559E06B67696,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","128","128"
