---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
DA8690B2409AA88106E8F88F9FB1A0FA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
841F0E3D44B42E6A07AB2E9789ABE6AC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
D63FA8204E570D8D287959AB37BB7D92,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
7E315AEC4344EB12D5F160A8A3E500D8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
4C7DE20E4C55FC5EEE184ABACCE1B677,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
AC52E2BE44B098EC128BF28CADFE8E70,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
7E78F26D4C62B4732FF053839BBDC796,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
492518574393D17526B4F6BA6A48D9C1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
79936AFB41912E55AFC3CC9C9FEACE40,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B0CF53BE4FADDAE5A334C6B7E5C942ED,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1C560BB7487D10A573151B98D36F16AE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0639535C41D82811843203B189621547,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
95EE346E4EF2E4ACC2A8118A518F48BC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1DE8BAA0468812BA5BDA5FA6129EA27A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A3A8A2E34DE775579860E7A4CF0B0CBA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BF3C4D8544533A75638DBE883A9B916D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B9A9E09F4C9A82C8C8FD2DB62E139658,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0925416B4223EE98A06FA28045C3D23F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
71CC31B94D98DE31E82D81A0A4554DE4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1552D43142E2BE691DDE1CA1B8D62905,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
330828C7432F5D32C29B71A469A6753D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
F6D971934FD08BF066177C9B807B92A1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A3D4CC9A42F0CC79F3A64299115F4FB0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
61620FED49AD64F8A3D5088EE80C3EE0,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
00EBE2074044CD4558D36DABFC77F801,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
519552A349AA4E2E283EEDB441B4F2B5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
7D2EBA26439C4756C2254EB225F9FF6A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
CE0C12C34FA8C96DC10E73811C937D77,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
191583054822E682F5E527B7F676B6F1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0364467741A5C2F515A25FB80BB6095B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BBD3376E4D66F308FEB10BBD1263BC04,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
CFCDBBC24A301088290364BBE7AC20B2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0DF7BDB243A3046ABDD3F7A5EDEA51C7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
EE15205C46AA211B3CCB54B830FFEF12,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
9F3732754B9DA1F3E19B1091469A468F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
985E66A44B660A7FF671939618993442,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
DDC4088242F7A366D06F7486F830859E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FBDCF5AC40ADB672541ADBAD15A5D2C8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
50C748D047D2252BCD50D6853979FCA9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B0E934C24D51A55ABF6F6E801F54819F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
119CAD944BFBC8D5D73E7CA9B29813CD,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FF5F152E40436B0FD27DA182ED0E58BE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B8484B7B4ECC21BC78CA0CA41CB2631E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
3C7F3FDB40A8968250F5E7971654E826,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
71513A7E41EA87F12EEC4AAE3346DD89,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
020B48B44476AA0A064046A82DBDC664,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
6450C19448524EAB21D6D8BB74AE5D15,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
D47099094B88C0BBD5EE02A22218D3EC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A81FDC49433B09D0001B259F5202A15A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1CA4076740C65B47F0F1A6A3DABE1027,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
940B470D4E30CB757E06C0A6FA48CAEB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
E4175D454DBC11C80343CC9C240F1AD7,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
586D83874E3DB30ACA4DE9BED706450A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
C25FCE7048CE2512F371889A8C47E973,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A1DCF78E4E92C55FD9B81598D099BE24,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
33B2D54143DBE5676980A0A7AB8313DF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
401F4EE74723CC2D2AB65F97F29454E4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
AD415F314F0F9165571074AA14EF8651,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FA552E5F4C369E70AC1EE9B46F5CE0FD,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
8E43FD9B4B0A998E5F67559D1688448F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
90D691F947A4453BA16F02993BAAAFB6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
3265CC5F40C16B0449B5CFABF4336933,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
9514F0FE4C3BD20978AED29A861CDA38,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
674E258B45E9FD0798B0E09010579C35,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BA33F782440D49C75FEC7580D3D2EE3E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
74F3B1AC43857772542A6DA8C6C440C6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
D5C8BBA1408B8F8DFCEB43A3FD96028E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
9C08117D4A06F3547CCD9FB974A0B3C5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FD18B3024811247A9273A48ADC35131C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B29897D641088B71D4AB6792A5478232,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0FCBD2F34ABEC7D90ECC8DBCBF4C0E5E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
6EFD9F944ED98B72815FA1A94667425A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
