---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
2FB3067342D923E5092F8C806C28F107,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
06B9649F4C9ED08F9F67E7BFE31642E9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
5B0B067D4FBB622491AE699954AF823F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
861B4CB5402763F3C6FF9FBB35DE4E68,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A3FCDE3549D1D1094C42A883BF8932A9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
864BE5C0429F46C0A21ABAB8D5D7FCEC,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A7C52A904650CA444771CFA98E099B23,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BF77965942BEF5B4335618B5A6E7319E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
2ADB07FB4EFAC62FD0821D98A6E3462B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
01C00E1D445BE9949C33479E37364BC6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BCA5D920452AECF1F44614AD399AF657,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
80F1A5194F79C3BB5DCB83A1CEF49138,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
CF47106D41E3EEF34FB642A1ED0CFA18,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
50A94A4B4316FC1A982DD6A30E4D499E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
024F4E694E333DF90FF0B3AAC718555A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
29C4098D4E6139C4661B2C8844A8DE4A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
EFC81933454CBDB1E22BA290594163A3,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
C08B2D9C4F22A11EA2FC4C9A1D2B6617,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
DBAC2C98482D9330DFFBC8B4269383DA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
194505C1467FA98B01B6B89905F80CC5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
F5D6BA6B454A90D6B12F78891F57C69E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
