---,bButtonStart,bButtonA,bButtonB,bButtonX,bButtonY,bButtonDUp,bButtonDDown,bButtonDLeft,bButtonDRight,bButtonZ,bButtonL,bButtonR,bDiscChange,bConsoleReset,bIsControllerConnected,bOriginReset,TriggerLeft,TriggerRight,MainStickX,MainStickY,CStickX,CStickY
44FC02D54B1EF6010C435DAE36A37934,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
8D49DDAB459B9806D5B60186F1DFD521,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
55CA90DF484240FCC5BB0384505273C6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
DA2BCA9F4FE2D41C7EC112B2F371F275,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
DBF6196F46A397F890AAC68AC17C88EE,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
6DB835E349640DF71EB3C1B9BAC90A26,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B5F550A249A0B84F1D37748F0FFC2DD6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
E59125A74F8BB210D327CA95BDA9A9F4,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1E448C0D4568FD34C0A806AE1B87FD81,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B8C9C6E34234648D45E83882E7469EC8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
2758BD1341C0D99CD51997885A4CF0D1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
BB68681543B2ECE014AE85904E87C874,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
16DD7C6C44F2D5A7866D8AA44C4C48B9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B6152E4A48C771565AFC5DA78A951D05,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
51CEDE1744691E1E5939A8BA70D93E37,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
69659DBA4440A514EFBBBE8FAAE6D39E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
66595C7848A4A2C496C8EAAD3D35A369,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
6E85AADD4988404B0F604E90C3367A00,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
370F3B3A4FB4709E736CBBA75FC299EA,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
ADD0E94746779A4BB3EE42AB4AC9C472,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
52646C6A4AEF27BFD4C8D4BC22E06FAB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
1C01B54C4D93FFA1A5D8CEBF726F0021,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
8CA54C984E8E250703D86C93460D5184,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
DD7F6162486497E0E93F1ABF0E1ABDBB,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
680F825F4F2861AB44BAA090E16E5D26,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
797110464C17F0436E1F529A037AF85D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
D48CB96A4002A6269FCCC9A2787883C6,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
AA7EA0774B15F75A9D4A10889C23BBBD,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
08C44B89445DCBFCCD7F148EF1B71D1B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
6519CB8948C8BE579573D2AE3FD8B12E,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
7B8C483F4719B69B4ECBF093B81A33A9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
A2413F674E9E9136FA00419996EE18BF,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
4F442CA042D2894AFC47AE8A7E90BA57,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0BEF1BC7408F0BB7694C9BA6FB12853B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
700F57EE4436437FC77A4D9F03CC0F5A,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B30ADADF4DAF78D9546552AFFD83230D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
54B7F0BD4CFF1AA44D1687A2F35BAB05,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
69ADE784423A1731267E20B483CB2C1B,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
4B4FDB1543525E500E43E7AE59F2462F,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FFC4B6034F2A26259226DD93A93FE4E8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
7AF36F27424A7F84B545D295A10AE4F5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
FDF16F53456E20E0B462CAB7ABAA86D9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
D59C624F42249BB8B32F11999492FBB9,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
89E34B414CF9EF0BC4E4AC8397869F5C,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
E066A7A84ABCEC665844B1A091F57351,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
73892E3A42795067FAB244A9013A6245,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
58FF65F842E2E1BB7431089A4F310EA8,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
B8411A974A4FEF4BA821DA8F7760A596,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
0B484A244C69307F56CCA786CC29B2E2,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
290F755341A53B6B587414AE3F98B543,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
E78C549C49B5DB86E0380888B0EAE2F5,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
32EEF65E4F38CA3E349E73B57BFD5BF1,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
8CA7C490438F4A8EC047A5877AC5175D,"False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","0","0","128","128","127","128"
